name,product_id,brand,store,link,image,current_price,avg_price_30d,pct_discount,rank
Bebida Energética Monster Mango Lata 473mL,3671477,Monster,chedraui,https://www.chedraui.com.mx/bebida-energetica-monster-mango-lata-473ml-3671477/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67258087/70847036272_00.jpg?v=639114633247870000,15.0,29.4,48.98,1
Cápsulas De Café Blasón Espresso Robusto 10 Piezas,3636189,Blasón,chedraui,https://www.chedraui.com.mx/capsulas-de-cafe-blason-espresso-robusto-10-piezas-3636189/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67078788/97338000482_00.jpg?v=639112967356470000,59.0,98.0,39.8,2
Cápsulas De Café Blasón Espresso Largo 10 Piezas,3636187,Blasón,chedraui,https://www.chedraui.com.mx/capsulas-de-cafe-blason-espresso-largo-10-piezas-3636187/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67078781/97338000499_00.jpg?v=639112967335800000,59.0,98.0,39.8,3
Cápsulas De Café Blasón Espresso 10 Piezas,3636188,Blasón,chedraui,https://www.chedraui.com.mx/capsulas-de-cafe-blason-espresso-10-piezas-3636188/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67057060/97338000475_00.jpg?v=639112907463130000,59.0,98.0,39.8,4
Uva Verde Domo Pz,3711103,Heartbest,chedraui,https://www.chedraui.com.mx/uva-verde-domo-pz-3711103/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66399355/7503013548345_00.jpg?v=639105992619130000,110.0,179.9,38.85,5
Miel D'Gari Chicle 250g,3886124,D'Gari,chedraui,https://www.chedraui.com.mx/miel-dgari-chicle-250g-3886124/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66874161/735257005934_00.jpg?v=639111319387630000,16.4,24.7,33.6,6
Aromatizante en Aceite Airwick Reed Orquídeas 50ml y 6 Varitas,3216844,Air Wick,chedraui,https://www.chedraui.com.mx/aromatizante-en-aceite-airwick-reed-orquideas-50ml-y-6-varitas-3216844/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67103173/7501058754684_00.jpg?v=639113031813770000,59.0,88.25,33.14,7
Aromatizante en Aceite Airwick Reed Black Berry 50ml y 6 Varitas,3216843,Air Wick,chedraui,https://www.chedraui.com.mx/aromatizante-en-aceite-airwick-reed-black-berry-50ml-y-6-varitas-3216843/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67103169/7501058754677_00.jpg?v=639113031805400000,59.0,88.25,33.14,8
Aromatizante en Aceite Airwick Reed Manzana Canela 50ml y 6 Varitas,3201753,Air Wick,chedraui,https://www.chedraui.com.mx/aromatizante-en-aceite-airwick-reed-manzana-canela-50ml-y-6-varitas-3201753/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67060862/5011417553107_00.jpg?v=639112917841670000,59.0,88.25,33.14,9
Postre En Polvo D'Gari Pudin Chocolate 96g,3748407,D'Gari,chedraui,https://www.chedraui.com.mx/postre-en-polvo-dgari-pudin-chocolate-96g-3748407/p,https://chedrauimx.vteximg.com.br/arquivos/ids/63634831/735257003787_00.jpg?v=639068848943600000,8.3,12.15,31.69,10
Chile Poblano por Kg,3109736,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/chile-poblano-por-kg-3109736/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67056127/2503409_00.jpg?v=639112904601700000,63.5,89.08,28.72,11
Puré de Manzana La Costeña 230g,3043842,La Costeña,chedraui,https://www.chedraui.com.mx/pure-de-manzana-la-costena-230g-3043842/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67171942/7501017005147_00.jpg?v=639113763445200000,14.0,19.38,27.76,12
Galletas Goldfish Cheddar 187g,3838972,Goldfish,chedraui,https://www.chedraui.com.mx/galletas-goldfish-cheddar-187g-3838972/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67126765/14100127987_00.jpg?v=639113089513600000,41.0,56.25,27.11,13
Zarzamora por Pieza,3100901,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/zarzamora-por-pieza-3100901/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67055153/7503011628001_00.jpg?v=639112902307630000,31.5,42.86,26.5,14
Pasta Italpasta Pluma Chica 180g,3618455,Italpasta,chedraui,https://www.chedraui.com.mx/pasta-italpasta-pluma-chica-180g-3618455/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66942409/7501079002900_00.jpg?v=639112095319430000,6.5,8.75,25.71,15
Sopa de Codo Italpasta Rayado 180g,3618450,Italpasta,chedraui,https://www.chedraui.com.mx/sopa-de-codo-italpasta-rayado-180g-3618450/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66942404/7501079002863_00.jpg?v=639112095305730000,6.5,8.75,25.71,16
Pps Italpasta Tallarin 180g,3722302,Italpasta,chedraui,https://www.chedraui.com.mx/pps-italpasta-tallarin-180g-3722302/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67200438/7501079004324_00.jpg?v=639113835264000000,6.5,8.75,25.71,17
Pasta Italpasta Fideo Cortado 180g,3618454,Italpasta,chedraui,https://www.chedraui.com.mx/pasta-italpasta-fideo-cortado-180g-3618454/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66930123/7501079002894_00.jpg?v=639112063647300000,6.5,8.75,25.71,18
Pasta Italpasta Letra de 180g,3618453,Italpasta,chedraui,https://www.chedraui.com.mx/pasta-italpasta-letra-de-180g-3618453/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66929542/7501079002887_00.jpg?v=639112062410130000,6.5,8.75,25.71,19
Pasta Italpasta Moñito 180g,3618451,Italpasta,chedraui,https://www.chedraui.com.mx/pasta-italpasta-monito-180g-3618451/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66942407/7501079002870_00.jpg?v=639112095313330000,6.5,8.75,25.71,20
PASTA DE ACHIOTE CONDIMENTADO LA ANITA PAQUETE,62562,LA ANITA,superaki,https://www.superaki.mx/es/p/pasta-de-achiote-condimentado-la-anita-paquete/1507,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/1507_001.jpg?t=20250625091614,51.5,86.0,40.12,1
MEDIA CREMA GANATA TETRA,61812,GANATA,superaki,https://www.superaki.mx/es/p/media-crema-ganata-tetra/317866,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/317866_001.png?t=20250625091614,9.5,14.95,36.45,2
PURE DE PAPA VERDE VALLE BOLSA,63672,VERDE VALLE,superaki,https://www.superaki.mx/es/p/pure-de-papa-verde-valle-bolsa/204261,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/204261_001.jpg?t=20250625091614,199.0,308.0,35.39,3
SUAVIZANTE DE TELAS PRINCESA ARGAN VAINILLA,63563,PRINCESA,superaki,https://www.superaki.mx/es/p/suavizante-de-telas-princesa-argan-vainilla/340118,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/340118_001.png?t=20250625091614,19.95,30.5,34.59,4
CLORO BLANQUEADOR CLOROX,64969,CLOROX,superaki,https://www.superaki.mx/es/p/cloro-blanqueador-clorox/74022,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/74022_001.png?t=20250812114332,39.9,58.95,32.32,5
TOALLITAS HUMEDAS KLEEN BEBE SUAVELASTIC  VITTA E,61479,KLEEN BEBE,superaki,https://www.superaki.mx/es/p/toallitas-humedas-kleen-bebe-suavelastic-vitta-e/348841,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/348841_001.png?t=20250626140640,28.95,42.11,31.25,6
SUAVIZANTE PRINCESA HIPOALERGENICO,65001,PRINCESA,superaki,https://www.superaki.mx/es/p/suavizante-princesa-hipoalergenico/350387,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/350387_001.png?t=20250625091614,29.5,42.25,30.18,7
PACK JABON CORPORAL KLEENEX CREMA COCO ALMENDRAS,61569,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-crema-coco-almendras/346814,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346814_001.png?t=20250625091614,34.65,49.5,30.0,8
PACK JABON CORPORAL KLEENEX FLOR DE ALGODON,67898,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-flor-de-algodon/346816,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346816_001.png?t=20250625091614,34.65,49.5,30.0,9
SUAVIZANTE DE TELAS PRINCESA SUAVE PLACER,67709,PRINCESA,superaki,https://www.superaki.mx/es/p/suavizante-de-telas-princesa-suave-placer/329414,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/329414_001.png?t=20250625091614,19.95,28.5,30.0,10
PAÑAL KLEEN BEBE ABSORSEC EXTRA EXTRA JUMBO (ETAPA 7),66854,KLEEN BEBE,superaki,https://www.superaki.mx/es/p/panal-kleen-bebe-absorsec-extra-extra-jumbo-etapa-7/350680,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/350680_001.png?t=20250812114327,158.2,226.0,30.0,11
PACK JABON CORPORAL KLEENEX TE VERDE Y TE DE LIMON,66859,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-te-verde-y-te-de-limon/346818,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346818_001.png?t=20250625091614,34.65,49.5,30.0,12
