product_id,store,scrape_date,list_price,price
3043842,chedraui,2026-04-02,21.0,21.0
3043842,chedraui,2026-04-07,21.0,21.0
3043842,chedraui,2026-04-08,21.5,21.5
3043842,chedraui,2026-04-12,14.0,14.0
3043842,chedraui,2026-04-13,14.0,14.0
3100901,chedraui,2026-04-02,31.5,31.5
3100901,chedraui,2026-04-03,31.5,31.5
3100901,chedraui,2026-04-07,31.5,31.5
3100901,chedraui,2026-04-08,59.9,59.9
3100901,chedraui,2026-04-12,59.9,59.9
3100901,chedraui,2026-04-13,31.5,31.5
3109736,chedraui,2026-04-02,94.0,78.9
3109736,chedraui,2026-04-03,94.0,78.9
3109736,chedraui,2026-04-07,94.0,79.8
3109736,chedraui,2026-04-08,109.8,97.9
3109736,chedraui,2026-04-12,109.9,109.9
3109736,chedraui,2026-04-13,109.9,63.5
3201753,chedraui,2026-04-02,98.0,98.0
3201753,chedraui,2026-04-07,98.0,98.0
3201753,chedraui,2026-04-08,98.0,98.0
3201753,chedraui,2026-04-12,59.0,59.0
3201753,chedraui,2026-04-13,59.0,59.0
3216843,chedraui,2026-04-02,98.0,98.0
3216843,chedraui,2026-04-07,98.0,98.0
3216843,chedraui,2026-04-08,98.0,98.0
3216843,chedraui,2026-04-12,59.0,59.0
3216843,chedraui,2026-04-13,59.0,59.0
3216844,chedraui,2026-04-02,98.0,98.0
3216844,chedraui,2026-04-07,98.0,98.0
3216844,chedraui,2026-04-08,98.0,98.0
3216844,chedraui,2026-04-12,59.0,59.0
3216844,chedraui,2026-04-13,59.0,59.0
3618450,chedraui,2026-04-02,9.5,9.5
3618450,chedraui,2026-04-07,9.5,9.5
3618450,chedraui,2026-04-08,9.5,9.5
3618450,chedraui,2026-04-12,6.5,6.5
3618450,chedraui,2026-04-13,6.5,6.5
3618451,chedraui,2026-04-02,9.5,9.5
3618451,chedraui,2026-04-07,9.5,9.5
3618451,chedraui,2026-04-08,9.5,9.5
3618451,chedraui,2026-04-12,6.5,6.5
3618451,chedraui,2026-04-13,6.5,6.5
3618453,chedraui,2026-04-02,9.5,9.5
3618453,chedraui,2026-04-07,9.5,9.5
3618453,chedraui,2026-04-08,9.5,9.5
3618453,chedraui,2026-04-12,6.5,6.5
3618453,chedraui,2026-04-13,6.5,6.5
3618454,chedraui,2026-04-02,9.5,9.5
3618454,chedraui,2026-04-07,9.5,9.5
3618454,chedraui,2026-04-08,9.5,9.5
3618454,chedraui,2026-04-12,6.5,6.5
3618454,chedraui,2026-04-13,6.5,6.5
3618455,chedraui,2026-04-02,9.5,9.5
3618455,chedraui,2026-04-07,9.5,9.5
3618455,chedraui,2026-04-08,9.5,9.5
3618455,chedraui,2026-04-12,6.5,6.5
3618455,chedraui,2026-04-13,6.5,6.5
3636187,chedraui,2026-04-02,111.0,111.0
3636187,chedraui,2026-04-07,111.0,111.0
3636187,chedraui,2026-04-08,111.0,111.0
3636187,chedraui,2026-04-12,111.0,59.0
3636187,chedraui,2026-04-13,111.0,59.0
3636188,chedraui,2026-04-02,111.0,111.0
3636188,chedraui,2026-04-07,111.0,111.0
3636188,chedraui,2026-04-08,111.0,111.0
3636188,chedraui,2026-04-12,111.0,59.0
3636188,chedraui,2026-04-13,111.0,59.0
3636189,chedraui,2026-04-02,111.0,111.0
3636189,chedraui,2026-04-07,111.0,111.0
3636189,chedraui,2026-04-08,111.0,111.0
3636189,chedraui,2026-04-12,111.0,59.0
3636189,chedraui,2026-04-13,111.0,59.0
3671477,chedraui,2026-04-02,38.0,26.6
3671477,chedraui,2026-04-07,38.0,38.0
3671477,chedraui,2026-04-08,38.0,38.0
3671477,chedraui,2026-04-12,38.0,15.0
3671477,chedraui,2026-04-13,38.0,15.0
3711103,chedraui,2026-04-02,179.9,179.9
3711103,chedraui,2026-04-03,179.9,179.9
3711103,chedraui,2026-04-07,179.9,179.9
3711103,chedraui,2026-04-08,179.9,179.9
3711103,chedraui,2026-04-12,179.9,179.9
3711103,chedraui,2026-04-13,110.0,110.0
3722302,chedraui,2026-04-02,9.5,9.5
3722302,chedraui,2026-04-07,9.5,9.5
3722302,chedraui,2026-04-08,9.5,9.5
3722302,chedraui,2026-04-12,6.5,6.5
3722302,chedraui,2026-04-13,6.5,6.5
3748407,chedraui,2026-04-02,16.0,16.0
3748407,chedraui,2026-04-07,16.0,16.0
3748407,chedraui,2026-04-08,15.9,8.3
3748407,chedraui,2026-04-12,15.9,8.3
3748407,chedraui,2026-04-13,15.9,8.3
3838972,chedraui,2026-04-02,59.0,59.0
3838972,chedraui,2026-04-07,62.5,62.5
3838972,chedraui,2026-04-08,62.5,62.5
3838972,chedraui,2026-04-12,41.0,41.0
3838972,chedraui,2026-04-13,41.0,41.0
3886124,chedraui,2026-04-02,33.0,33.0
3886124,chedraui,2026-04-07,33.0,33.0
3886124,chedraui,2026-04-08,33.0,16.4
3886124,chedraui,2026-04-12,33.0,16.4
3886124,chedraui,2026-04-13,33.0,16.4
61479,superaki,2026-04-03,46.5,46.5
61479,superaki,2026-04-07,46.5,46.5
61479,superaki,2026-04-08,46.5,46.5
61479,superaki,2026-04-12,28.95,28.95
61479,superaki,2026-04-13,28.95,28.95
61568,superaki,2026-04-03,21.5,21.5
61568,superaki,2026-04-07,21.5,21.5
61568,superaki,2026-04-08,21.5,21.5
61568,superaki,2026-04-12,21.5,21.5
61568,superaki,2026-04-13,21.5,15.05
61569,superaki,2026-04-03,49.5,49.5
61569,superaki,2026-04-07,49.5,49.5
61569,superaki,2026-04-08,49.5,49.5
61569,superaki,2026-04-12,49.5,49.5
61569,superaki,2026-04-13,49.5,34.65
61812,superaki,2026-04-02,14.95,14.95
61812,superaki,2026-04-03,14.95,14.95
61812,superaki,2026-04-07,14.95,14.95
61812,superaki,2026-04-08,14.95,14.95
61812,superaki,2026-04-12,14.95,14.95
61812,superaki,2026-04-13,14.95,9.5
62562,superaki,2026-04-02,86.0,86.0
62562,superaki,2026-04-03,86.0,86.0
62562,superaki,2026-04-07,86.0,86.0
62562,superaki,2026-04-08,86.0,86.0
62562,superaki,2026-04-12,86.0,86.0
62562,superaki,2026-04-13,86.0,51.5
63563,superaki,2026-04-03,30.5,30.5
63563,superaki,2026-04-07,30.5,30.5
63563,superaki,2026-04-08,30.5,30.5
63563,superaki,2026-04-12,30.5,30.5
63563,superaki,2026-04-13,30.5,19.95
63672,superaki,2026-04-02,308.0,308.0
63672,superaki,2026-04-03,308.0,308.0
63672,superaki,2026-04-07,308.0,308.0
63672,superaki,2026-04-08,308.0,308.0
63672,superaki,2026-04-12,308.0,308.0
63672,superaki,2026-04-13,308.0,199.0
64477,superaki,2026-04-03,63.5,63.5
64477,superaki,2026-04-07,63.5,63.5
64477,superaki,2026-04-08,63.5,63.5
64477,superaki,2026-04-12,63.5,63.5
64477,superaki,2026-04-13,63.5,44.45
64969,superaki,2026-04-03,58.95,58.95
64969,superaki,2026-04-07,58.95,58.95
64969,superaki,2026-04-08,58.95,58.95
64969,superaki,2026-04-12,58.95,58.95
64969,superaki,2026-04-13,58.95,39.9
65001,superaki,2026-04-03,46.5,46.5
65001,superaki,2026-04-07,46.5,46.5
65001,superaki,2026-04-08,46.5,46.5
65001,superaki,2026-04-12,46.5,29.5
65001,superaki,2026-04-13,46.5,29.5
65459,superaki,2026-04-03,64.5,64.5
65459,superaki,2026-04-07,64.5,64.5
65459,superaki,2026-04-08,64.5,64.5
65459,superaki,2026-04-12,64.5,64.5
