name,product_id,brand,store,link,image,scrape_date,prev_price,current_price,price_decrease,pct_decrease,rank
Chile Poblano por Kg,3109736,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/chile-poblano-por-kg-3109736/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67056127/2503409_00.jpg?v=639112904601700000,2026-04-13,109.9,63.5,46.400000000000006,42.22,1
Pierna y Muslo Americano Fresco de Pollo kg,3109882,Crío,chedraui,https://www.chedraui.com.mx/pierna-y-muslo-americano-fresco-de-pollo-kg-3109882/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67191586/2503538_00.jpg?v=639113813373000000,2026-04-13,49.9,29.9,20.0,40.08,2
Detergente En Polvo Multiusos Maestro Limpio 1Kg,3786191,Maestro Limpio,chedraui,https://www.chedraui.com.mx/detergente-en-polvo-multiusos-maestro-limpio-1kg-3786191/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67201576/17499013077_00.jpg?v=639113838863600000,2026-04-13,36.0,25.0,11.0,30.56,3
Galletas Gamesa Marías 850g,3131975,Gamesa,chedraui,https://www.chedraui.com.mx/galletas-gamesa-marias-850g-3131975/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66937790/7501000625062_00.jpg?v=639112082418430000,2026-04-13,98.5,75.0,23.5,23.86,4
Cilantro Rollo,3100920,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/cilantro-rollo-3100920/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67079881/2350178_00.jpg?v=639112970991300000,2026-04-13,8.5,6.6,1.9000000000000004,22.35,5
Galletas Gamesa Marías 510g,3045721,Gamesa,chedraui,https://www.chedraui.com.mx/galletas-gamesa-marias-510g-3045721/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67171691/7501000655380_00.jpg?v=639113762467170000,2026-04-13,65.0,53.0,12.0,18.46,6
Mango Ataulfo por Kg,3102817,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/mango-ataulfo-por-kg-3102817/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67172250/2502840_00.jpg?v=639113764283800000,2026-04-13,54.5,44.8,9.700000000000003,17.8,7
Uva Verde por kg,3102808,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/uva-verde-por-kg-3102808/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67080564/2502822_00.jpg?v=639112973073770000,2026-04-13,122.5,103.5,19.0,15.51,8
Chocolate Ibarra + Tablilla Gratis 540g,3886909,Ibarra,chedraui,https://www.chedraui.com.mx/chocolate-ibarra--tablilla-gratis-540g-3886909/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67276488/7501014302720_00.jpg?v=639114674288630000,2026-04-13,132.0,115.0,17.0,12.88,9
Galletas Gamesa Emperador Piruetas 307g,3880904,Gamesa,chedraui,https://www.chedraui.com.mx/galletas-gamesa-emperador-piruetas-307g-3880904/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67131088/7500478047628_00.jpg?v=639113098742930000,2026-04-13,42.0,37.0,5.0,11.9,10
Galletas Gamesa Chokis 7 Paketines de 266g,3880748,Gamesa,chedraui,https://www.chedraui.com.mx/galletas-gamesa-chokis-7-paketines-de-266g-3880748/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67212877/7500478047666_00.jpg?v=639113863872800000,2026-04-13,42.0,37.0,5.0,11.9,11
Gel Limpiador Pato Sunny Summer Vibes 500ml,3765105,Pato,chedraui,https://www.chedraui.com.mx/gel-limpiador-pato-sunny-summer-vibes-500ml-3765105/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66964398/7503036165321_00.jpg?v=639112154091330000,2026-04-13,50.5,45.0,5.5,10.89,12
Mostaza Maille Dijon 215g,3005205,Maille,chedraui,https://www.chedraui.com.mx/mostaza-maille-dijon-215g-3005205/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67193257/3036810201280_00.jpg?v=639113817135430000,2026-04-13,67.0,60.0,7.0,10.45,13
Codillo Chamorro de Cerdo kg,3237664,Productos Frescos,chedraui,https://www.chedraui.com.mx/codillo-chamorro-de-cerdo-kg-3237664/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67177853/2506707_00.jpg?v=639113779083100000,2026-04-13,85.0,77.0,8.0,9.41,14
Bubbaloo Rollo Mora Azul 56.7g,3754524,Bubbaloo,chedraui,https://www.chedraui.com.mx/bubbaloo-rollo-mora-azul-567g-3754524/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67265263/7622210571465_00.jpg?v=639114650939330000,2026-04-13,33.0,30.0,3.0,9.09,15
Crema Chantilly Dulce 200g,3011691,Chantilly,chedraui,https://www.chedraui.com.mx/crema-chantilly-dulce-200g-3011691/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66944483/7501096830203_00.jpg?v=639112100884100000,2026-04-13,68.0,62.0,6.0,8.82,16
Carne para Deshebrar de Res kg,3102635,Productos Frescos,chedraui,https://www.chedraui.com.mx/carne-para-deshebrar-de-res-kg-3102635/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67066918/2502485_00.jpg?v=639112934312800000,2026-04-13,245.0,224.0,21.0,8.57,17
Jamón Capistrano California Mixto por kg,3307731,Capistrano,chedraui,https://www.chedraui.com.mx/jamon-capistrano-california-mixto-por-kg-3307731/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67095672/7501689020929_00.jpg?v=639113013416670000,2026-04-13,164.0,150.0,14.0,8.54,18
Queso crema Philadelphia 90g,3301462,Philadelphia,chedraui,https://www.chedraui.com.mx/queso-crema-philadelphia-90g-3301462/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67257574/7622210265999_00.jpg?v=639114631820030000,2026-04-13,25.0,23.0,2.0,8.0,19
Filete de Tilapia por Kg,3010329,Pescados y mariscos,chedraui,https://www.chedraui.com.mx/filete-de-tilapia-por-kg-3010329/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66939542/2501504_00.jpg?v=639112087427930000,2026-04-13,132.0,122.0,10.0,7.58,20
PASTA DE ACHIOTE CONDIMENTADO LA ANITA PAQUETE,62562,LA ANITA,superaki,https://www.superaki.mx/es/p/pasta-de-achiote-condimentado-la-anita-paquete/1507,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/1507_001.jpg?t=20250625091614,2026-04-13,86.0,51.5,34.5,40.12,1
MEDIA CREMA GANATA TETRA,61812,GANATA,superaki,https://www.superaki.mx/es/p/media-crema-ganata-tetra/317866,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/317866_001.png?t=20250625091614,2026-04-13,14.95,9.5,5.449999999999999,36.45,2
PURE DE PAPA VERDE VALLE BOLSA,63672,VERDE VALLE,superaki,https://www.superaki.mx/es/p/pure-de-papa-verde-valle-bolsa/204261,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/204261_001.jpg?t=20250625091614,2026-04-13,308.0,199.0,109.0,35.39,3
SUAVIZANTE DE TELAS PRINCESA ARGAN VAINILLA,63563,PRINCESA,superaki,https://www.superaki.mx/es/p/suavizante-de-telas-princesa-argan-vainilla/340118,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/340118_001.png?t=20250625091614,2026-04-13,30.5,19.95,10.55,34.59,4
CLORO BLANQUEADOR CLOROX,64969,CLOROX,superaki,https://www.superaki.mx/es/p/cloro-blanqueador-clorox/74022,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/74022_001.png?t=20250812114332,2026-04-13,58.95,39.9,19.050000000000004,32.32,5
PACK JABON CORPORAL KLEENEX TE VERDE Y TE DE LIMON,66859,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-te-verde-y-te-de-limon/346818,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346818_001.png?t=20250625091614,2026-04-13,49.5,34.65,14.850000000000001,30.0,6
PAÑAL KLEEN BEBE ABSORSEC EXTRA EXTRA JUMBO (ETAPA 7),66854,KLEEN BEBE,superaki,https://www.superaki.mx/es/p/panal-kleen-bebe-absorsec-extra-extra-jumbo-etapa-7/350680,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/350680_001.png?t=20250812114327,2026-04-13,226.0,158.2,67.80000000000001,30.0,7
PAÑAL KLEENBEBE MOVILASTIC EXTRA JUMBO ETAPA 6,67659,KLEENBEBE,superaki,https://www.superaki.mx/es/p/panal-kleenbebe-movilastic-extra-jumbo-etapa-6/349716,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/349716_001.jpg?t=20250626140641,2026-04-13,276.0,193.2,82.80000000000001,30.0,8
JABON LIQUIDO KLEENEX CREMA DE COCO,65459,KLEENEX,superaki,https://www.superaki.mx/es/p/jabon-liquido-kleenex-crema-de-coco/317443,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/317443_001.png?t=20250625091614,2026-04-13,64.5,45.15,19.35,30.0,9
PACK JABON CORPORAL KLEENEX CREMA COCO ALMENDRAS,61569,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-crema-coco-almendras/346814,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346814_001.png?t=20250625091614,2026-04-13,49.5,34.65,14.850000000000001,30.0,10
PACK JABON CORPORAL KLEENEX FLOR DE ALGODON,67898,KLEENEX,superaki,https://www.superaki.mx/es/p/pack-jabon-corporal-kleenex-flor-de-algodon/346816,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/346816_001.png?t=20250625091614,2026-04-13,49.5,34.65,14.850000000000001,30.0,11
SUAVIZANTE DE TELAS PRINCESA SUAVE PLACER,67709,PRINCESA,superaki,https://www.superaki.mx/es/p/suavizante-de-telas-princesa-suave-placer/329414,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/329414_001.png?t=20250625091614,2026-04-13,28.5,19.95,8.55,30.0,12
JABÓN HUGGIES SUPREME MANZANILLA Y ALOE PARA BEBÉ,65676,HUGGIES,superaki,https://www.superaki.mx/es/p/jabon-huggies-supreme-manzanilla-y-aloe-para-bebe/325068,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/325068_001.png?t=20250625091614,2026-04-13,19.5,13.65,5.85,30.0,13
JABON CORPORAL KLEENEX EUCALIPTO,61568,KLEENEX,superaki,https://www.superaki.mx/es/p/jabon-corporal-kleenex-eucalipto/345201,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/345201_001.png?t=20250625091614,2026-04-13,21.5,15.05,6.449999999999999,30.0,14
JABON CORPORAL KLEENEX CREMA COCO ALMENDRAS,66409,KLEENEX,superaki,https://www.superaki.mx/es/p/jabon-corporal-kleenex-crema-coco-almendras/345202,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/345202_001.png?t=20250625091614,2026-04-13,21.5,15.05,6.449999999999999,30.0,15
JABON CORPORAL KLEENEX FLOR DE ALGODON ,67662,KLEENEX,superaki,https://www.superaki.mx/es/p/jabon-corporal-kleenex-flor-de-algodon-/345200,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/345200_001.png?t=20250625091614,2026-04-13,21.5,15.05,6.449999999999999,30.0,16
PAÑAL KLEN BEBE MOVILASTIC ETAPA 4 ,67656,KLEEN BEBE,superaki,https://www.superaki.mx/es/p/panal-klen-bebe-movilastic-etapa-4-/349713,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/349713_001.jpg?t=20250626140641,2026-04-13,254.0,177.8,76.19999999999999,30.0,17
SHAMPOO  HUGGIES SUMPREME 2 EN 1,62455,HUGGIES,superaki,https://www.superaki.mx/es/p/shampoo-huggies-sumpreme-2-en-1/320288,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/320288_001.png?t=20250625091614,2026-04-13,63.5,44.45,19.049999999999997,30.0,18
SHAMPOO PARA BEBE HUGGIES SUPREME,64477,HUGGIES,superaki,https://www.superaki.mx/es/p/shampoo-para-bebe-huggies-supreme/320291,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/320291_001.png?t=20250625091614,2026-04-13,63.5,44.45,19.049999999999997,30.0,19
PAÑAL KLEENBEBE MOVILASTIC JUMBO ETAPA 5,61567,KLEENBEBE,superaki,https://www.superaki.mx/es/p/panal-kleenbebe-movilastic-jumbo-etapa-5/349715,https://cdn-superaki.aktiosdigitalservices.com/tol/superaki/media/product/img/300x300/349715_001.jpg?t=20250626140641,2026-04-13,259.0,181.3,77.69999999999999,30.0,20
