name,product_id,brand,is_available,store,link,image,scrape_date,prev_list_price,current_list_price,price_decrease,pct_decrease,rank
Zarzamora por Pieza,3100901,Frutas y Verduras,true,chedraui,https://www.chedraui.com.mx/zarzamora-por-pieza-3100901/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67055153/7503011628001_00.jpg?v=639112902307630000,2026-04-13,59.9,31.5,28.4,47.41,1
Silk Bebida Vegetal Sabor Almendra Sin Azúcar 190ml,3658815,Silk,true,chedraui,https://www.chedraui.com.mx/silk-bebida-vegetal-sabor-almendra-sin-azucar-190ml-3658815/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66496137/7506443102552_00.jpg?v=639106797548170000,2026-04-13,11.0,6.0,5.0,45.45,2
Uva Verde Domo Pz,3711103,Heartbest,true,chedraui,https://www.chedraui.com.mx/uva-verde-domo-pz-3711103/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66399355/7503013548345_00.jpg?v=639105992619130000,2026-04-13,179.9,110.0,69.9,38.85,3
Aguacate Hass Rancho Tierra Generosa 800g (4 unidades),3890324,Rancho Tierra Generosa,true,chedraui,https://www.chedraui.com.mx/aguacate-hass-rancho-tierra-generosa-800g-4-unidades-3890324/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67213504/7503058097716_00.jpg?v=639113865858030000,2026-04-13,39.0,24.0,15.0,38.46,4
Champiñón por kg,3102901,Frutas y Verduras,true,chedraui,https://www.chedraui.com.mx/champinon-por-kg-3102901/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67055134/2505190_00.jpg?v=639112902236400000,2026-04-13,164.0,101.8,62.2,37.93,5
Uva Negra sin Semilla kg,3102811,Frutas y Verduras,true,chedraui,https://www.chedraui.com.mx/uva-negra-sin-semilla-kg-3102811/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66932932/2502828_00.jpg?v=639112070804530000,2026-04-13,139.5,99.5,40.0,28.67,6
Bebida Saborizada Frutsi Uva 125ml,3861260,Frutsi,true,chedraui,https://www.chedraui.com.mx/bebida-saborizada-frutsi-uva-125ml-3861260/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67212216/7501055387243_00.jpg?v=639113862527100000,2026-04-13,3.5,2.5,1.0,28.57,7
Gelatina Pronto Light Sabor Piña 25g,3324770,Pronto,true,chedraui,https://www.chedraui.com.mx/gelatina-pronto-light-sabor-pina-25g-3324770/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67190434/7501200482359_00.jpg?v=639113810076430000,2026-04-13,14.0,10.0,4.0,28.57,8
Tartas Kelloggs Pop Tarts Sabor Frosted Cherry 384g,3489117,Kellogg's,true,chedraui,https://www.chedraui.com.mx/tartas-kelloggs-pop-tarts-sabor-frosted-cherry-384g-3489117/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67182688/38000222757_00.jpg?v=639113791372630000,2026-04-13,81.5,61.0,20.5,25.15,9
Concentrado en Polvo Clight Fresa 7g,3454679,Clight,true,chedraui,https://www.chedraui.com.mx/concentrado-en-polvo-clight-fresa-7g-3454679/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67255232/7622210688361_00.jpg?v=639114625726430000,2026-04-13,6.0,4.5,1.5,25.0,10
Gelatina Jello-O sabor Piña 25g,3096916,Jello-O,true,chedraui,https://www.chedraui.com.mx/gelatina-jello-o-sabor-pina-25g-3096916/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66946486/7622210697394_00.jpg?v=639112105927100000,2026-04-13,15.0,11.5,3.5,23.33,11
Cátsup Mi Cátsup 1kg,3441089,Clemente Jacques,true,chedraui,https://www.chedraui.com.mx/catsup-mi-catsup-1kg-3441089/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66929229/7501052472423_00.jpg?v=639112061272800000,2026-04-13,33.0,25.5,7.5,22.73,12
Boneless sabor Buffalo Pilgrim´s 600g,3825132,Pilgrim's,true,chedraui,https://www.chedraui.com.mx/boneless-sabor-buffalo-pilgrims-600g-3825132/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66843423/7502004719801_00.jpg?v=639111250134570000,2026-04-13,252.0,196.0,56.0,22.22,13
Pastillas Sanitaria Bref Duo Cubes Original 100g,3578256,Bref,true,chedraui,https://www.chedraui.com.mx/pastillas-sanitaria-bref-duo-cubes-original-100g-3578256/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67259452/7501199419305_00.jpg?v=639114637000730000,2026-04-13,54.0,43.0,11.0,20.37,14
Desinfectante de Superficies en Spray Lysol 650ml,3392308,Lysol,true,chedraui,https://www.chedraui.com.mx/desinfectante-de-superficies-en-spray-lysol-650ml-3392308/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67172596/7501058714398_00.jpg?v=639113765339130000,2026-04-13,84.0,67.0,17.0,20.24,15
Manzanilla Rollo,3100925,Frutas y Verduras,true,chedraui,https://www.chedraui.com.mx/manzanilla-rollo-3100925/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67061605/2350188_00.jpg?v=639112919854400000,2026-04-13,12.5,10.0,2.5,20.0,16
Queso Crema Philadelphia Untable 150g,3671050,Philadelphia,true,chedraui,https://www.chedraui.com.mx/queso-crema-philadelphia-untable-150g-3671050/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67087512/7622210558671_00.jpg?v=639112990963370000,2026-04-13,42.0,34.0,8.0,19.05,17
Barra Multigrano Bimbo Nuez 6 Piezas 204g,3115681,Bimbo,true,chedraui,https://www.chedraui.com.mx/barra-multigrano-bimbo-nuez-6-piezas-204g-3115681/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67077715/7501030424369_00.jpg?v=639112963956170000,2026-04-13,50.0,41.5,8.5,17.0,18
Bebida Jumex Bida Mango 946ml,3198677,Jumex,true,chedraui,https://www.chedraui.com.mx/bebida-jumex-bida-mango-946ml-3198677/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67197319/7501013196030_00.jpg?v=639113827071200000,2026-04-13,22.5,19.0,3.5,15.56,19
Queso Philadelphia Original 2 Pack 440g,3806592,Philadelphia,true,chedraui,https://www.chedraui.com.mx/queso-philadelphia-original-2-pack-440g-3806592/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66975348/7622210529510_00.jpg?v=639112181347530000,2026-04-13,93.5,79.0,14.5,15.51,20
