name,product_id,brand,store,link,image,scrape_date,prev_list_price,current_list_price,price_increase,pct_increase,rank
Chile Jalapeño por Kg,3109735,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/chile-jalapeno-por-kg-3109735/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67184578/2503407_00.jpg?v=639113795739230000,2026-04-13,23.0,75.6,52.599999999999994,228.7,1
Tomate Saladet por kg,3102861,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/tomate-saladet-por-kg-3102861/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67184086/2502928_00.jpg?v=639113794662530000,2026-04-13,29.9,59.9,30.0,100.33,2
Concentrado Deliciosa de Horchata Arroz 700ml,3289602,Deliciosa,chedraui,https://www.chedraui.com.mx/concentrado-deliciosa-de-horchata-arroz-700ml-3289602/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67171984/7501088013331_00.jpg?v=639113763558100000,2026-04-13,30.0,47.5,17.5,58.33,3
Higo Pieza,3100909,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/higo-pieza-3100909/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67054647/7503011628056_00.jpg?v=639112900689100000,2026-04-13,69.9,110.0,40.099999999999994,57.37,4
Caldo Knorr de Costilla de Res Jugosa en Polvo 200g,3636627,Knorr,chedraui,https://www.chedraui.com.mx/caldo-knorr-de-costilla-de-res-jugosa-en-polvo-200g-3636627/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67189062/7506306314948_00.jpg?v=639113806632100000,2026-04-13,48.83,71.5,22.67,46.43,5
Betabel por Kg,3102878,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/betabel-por-kg-3102878/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67254725/2502962_00.jpg?v=639114624932470000,2026-04-13,19.5,27.9,8.399999999999999,43.08,6
Melón Amarillo por Kg,3102829,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/melon-amarillo-por-kg-3102829/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67054697/2502864_00.jpg?v=639112900848270000,2026-04-13,34.0,48.5,14.5,42.65,7
Suavizante de Telas Suavitel Complete Fresca Primavera 4.8L,3761736,Suavitel,chedraui,https://www.chedraui.com.mx/suavizante-de-telas-suavitel-complete-fresca-primavera-48l-3761736/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66967274/7509546684109_00.jpg?v=639112161742130000,2026-04-13,125.0,167.0,42.0,33.6,8
Jalapeños Herdez Enteros 750g,3235356,Herdez,chedraui,https://www.chedraui.com.mx/jalapenos-herdez-enteros-750g-3235356/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67012999/7501003104663_00.jpg?v=639112268260530000,2026-04-13,31.0,41.0,10.0,32.26,9
Spaghetti La Moderna Integral 200g,3311056,La Moderna,chedraui,https://www.chedraui.com.mx/spaghetti-la-moderna-integral-200g-3311056/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67191113/7501018319007_00.jpg?v=639113812119570000,2026-04-13,9.5,12.5,3.0,31.58,10
Sopa de Codo La Moderna Integral 200g,3311055,La Moderna,chedraui,https://www.chedraui.com.mx/sopa-de-codo-la-moderna-integral-200g-3311055/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66942191/7501018319014_00.jpg?v=639112094566030000,2026-04-13,9.5,12.5,3.0,31.58,11
Suavizante Downy Romance 2.6L,3692541,Downy,chedraui,https://www.chedraui.com.mx/suavizante-downy-romance-26l-3692541/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67184846/7500435175760_00.jpg?v=639113796542230000,2026-04-13,96.0,125.0,29.0,30.21,12
Chiles Clemente Jacques Habaneros Molidos 220g,3043406,Clemente Jacques,chedraui,https://www.chedraui.com.mx/chiles-clemente-jacques-habaneros-molidos-220g-3043406/p,https://chedrauimx.vteximg.com.br/arquivos/ids/66816957/7501052473437_00.jpg?v=639111184990830000,2026-04-13,25.0,32.5,7.5,30.0,13
Frijoles La Sierra Charros Enteros 560g,3043759,La Sierra,chedraui,https://www.chedraui.com.mx/frijoles-la-sierra-charros-enteros-560g-3043759/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67056420/7501052424620_00.jpg?v=639112905477670000,2026-04-13,14.0,18.0,4.0,28.57,14
Galleta Marian Trazzos de Chocolate Tipo Gourmet 210g,3326475,Marian,chedraui,https://www.chedraui.com.mx/galleta-marian-trazzos-de-chocolate-tipo-gourmet-210g-3326475/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67257859/20899001063_00.jpg?v=639114632638000000,2026-04-13,44.0,56.5,12.5,28.41,15
Gelatina D´Gari Mango 120g,3601103,D'Gari,chedraui,https://www.chedraui.com.mx/gelatina-dgari-mango-120g-3601103/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67190630/735257002582_00.jpg?v=639113810669370000,2026-04-13,12.5,16.0,3.5,28.0,16
Epazote Rollo,3100922,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/epazote-rollo-3100922/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67054661/2350182_00.jpg?v=639112900716300000,2026-04-13,14.0,17.9,3.8999999999999986,27.86,17
Salsa Prego Pizza 680g,3727336,Prego,chedraui,https://www.chedraui.com.mx/salsa-prego-pizza-680g-3727336/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67108211/7501011351042_00.jpg?v=639113045365800000,2026-04-13,65.0,83.0,18.0,27.69,18
Chayote Cambray por kg,3102882,Frutas y Verduras,chedraui,https://www.chedraui.com.mx/chayote-cambray-por-kg-3102882/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67055085/2502970_00.jpg?v=639112901975600000,2026-04-13,47.5,59.9,12.399999999999999,26.11,19
Frijoles La Sierra Negros Molidos 440g,3043718,La Sierra,chedraui,https://www.chedraui.com.mx/frijoles-la-sierra-negros-molidos-440g-3043718/p,https://chedrauimx.vteximg.com.br/arquivos/ids/67054675/7501052420028_00.jpg?v=639112900780430000,2026-04-13,14.9,18.5,3.5999999999999996,24.16,20
